Respondent_ID,Age,Gender,Market,Favorite_Brand,Purchase_Frequency,Occasion,Sustainability_Importance
1,29,Female,TX,Sierra Nevada Pale Ale,Weekly,Event,1
2,49,Female,NC,Sierra Nevada Hazy IPA,Weekly,At-Home,3
3,49,Female,CO,Competitor IPA,Weekly,Event,3
4,52,Male,CO,Competitor IPA,Monthly,Bar,4
5,62,Female,CO,Competitor Lager,Occasionally,At-Home,3
6,59,Non-Binary,NC,Sierra Nevada Hazy IPA,Occasionally,Bar,5
7,23,Female,CA,Sierra Nevada Hazy IPA,Occasionally,At-Home,3
8,33,Male,PA,Sierra Nevada Hazy IPA,Monthly,Event,5
9,49,Male,CA,Sierra Nevada Hazy IPA,Occasionally,Event,3
10,52,Male,NC,Sierra Nevada Pale Ale,Monthly,Event,5
11,24,Female,NC,Competitor Lager,Weekly,Bar,1
12,52,Non-Binary,CA,Sierra Nevada Pale Ale,Weekly,At-Home,5
13,40,Non-Binary,NC,Competitor Lager,Monthly,At-Home,3
14,32,Male,PA,Competitor IPA,Monthly,At-Home,2
15,28,Non-Binary,NC,Competitor Lager,Monthly,At-Home,4
16,50,Non-Binary,PA,Competitor Lager,Occasionally,Bar,4
17,40,Male,CA,Sierra Nevada Pale Ale,Weekly,At-Home,3
18,44,Non-Binary,TX,Sierra Nevada Hazy IPA,Monthly,Event,4
19,48,Non-Binary,NC,Competitor IPA,Occasionally,At-Home,5
20,61,Female,NC,Sierra Nevada Hazy IPA,Occasionally,At-Home,5
21,45,Male,NC,Sierra Nevada Hazy IPA,Occasionally,Event,4
22,42,Non-Binary,NC,Competitor Lager,Monthly,Event,4
23,58,Non-Binary,PA,Sierra Nevada Pale Ale,Weekly,Event,4
24,62,Non-Binary,NC,Competitor IPA,Weekly,At-Home,1
25,55,Male,CO,Sierra Nevada Hazy IPA,Monthly,Event,5
26,28,Non-Binary,CO,Sierra Nevada Torpedo,Weekly,Event,1
27,30,Male,NC,Competitor IPA,Weekly,Event,2
28,50,Female,CO,Competitor IPA,Weekly,Event,4
29,38,Female,NC,Sierra Nevada Hazy IPA,Weekly,Bar,1
30,29,Female,CA,Competitor IPA,Occasionally,Event,3
31,35,Female,CA,Competitor IPA,Weekly,Event,2
32,25,Male,NC,Sierra Nevada Pale Ale,Occasionally,At-Home,4
33,60,Non-Binary,NC,Competitor Lager,Weekly,Bar,1
34,56,Female,PA,Sierra Nevada Torpedo,Monthly,Bar,4
35,27,Male,NC,Sierra Nevada Pale Ale,Weekly,At-Home,4
