Market,Account,Brand,Package,Authorized,On_Shelf,Out_Of_Stock_Days
NC,Costco,Sierra Nevada Pale Ale,Single Draft,Y,N,13
PA,Safeway,Competitor Lager,6pk Cans,Y,Y,14
CA,Publix,Competitor IPA,6pk Cans,Y,Y,11
NC,Safeway,Competitor Lager,6pk Cans,Y,Y,11
CO,Publix,Competitor IPA,12pk Bottles,Y,Y,4
CO,Whole Foods,Sierra Nevada Torpedo,Single Draft,Y,Y,7
CO,Safeway,Sierra Nevada Pale Ale,6pk Cans,Y,N,10
PA,Kroger,Competitor IPA,6pk Cans,Y,Y,8
NC,Safeway,Competitor Lager,Single Draft,Y,Y,5
CO,Costco,Sierra Nevada Hazy IPA,12pk Bottles,Y,Y,1
CO,Kroger,Sierra Nevada Pale Ale,Single Draft,Y,Y,14
PA,Kroger,Competitor IPA,Single Draft,Y,Y,2
CO,Whole Foods,Competitor Lager,Single Draft,Y,Y,11
NC,Whole Foods,Competitor IPA,6pk Cans,Y,Y,5
CO,Whole Foods,Sierra Nevada Torpedo,Single Draft,Y,Y,7
CO,Kroger,Sierra Nevada Hazy IPA,12pk Bottles,Y,Y,3
TX,Whole Foods,Competitor IPA,6pk Cans,Y,Y,10
NC,Whole Foods,Competitor Lager,12pk Bottles,Y,Y,2
TX,Costco,Sierra Nevada Pale Ale,6pk Cans,Y,Y,0
PA,Whole Foods,Competitor Lager,6pk Cans,Y,Y,14
CO,Kroger,Competitor Lager,12pk Bottles,Y,N,10
CO,Publix,Sierra Nevada Pale Ale,Single Draft,Y,N,0
TX,Kroger,Competitor IPA,12pk Bottles,Y,Y,3
NC,Kroger,Sierra Nevada Torpedo,6pk Cans,Y,Y,7
PA,Whole Foods,Sierra Nevada Torpedo,6pk Cans,Y,Y,5
TX,Costco,Competitor Lager,12pk Bottles,Y,Y,10
CO,Kroger,Competitor Lager,6pk Cans,Y,N,5
PA,Kroger,Sierra Nevada Hazy IPA,12pk Bottles,Y,N,12
NC,Kroger,Sierra Nevada Torpedo,Single Draft,Y,Y,1
TX,Costco,Sierra Nevada Pale Ale,12pk Bottles,Y,Y,13
NC,Kroger,Sierra Nevada Torpedo,12pk Bottles,Y,Y,8
CO,Safeway,Sierra Nevada Hazy IPA,12pk Bottles,Y,Y,5
PA,Publix,Sierra Nevada Hazy IPA,12pk Bottles,Y,Y,5
CO,Costco,Competitor IPA,Single Draft,Y,Y,7
CO,Costco,Competitor Lager,12pk Bottles,Y,Y,5
CA,Whole Foods,Sierra Nevada Torpedo,Single Draft,Y,Y,5
TX,Costco,Sierra Nevada Pale Ale,6pk Cans,Y,Y,6
CA,Whole Foods,Sierra Nevada Pale Ale,Single Draft,N,Y,11
PA,Whole Foods,Sierra Nevada Pale Ale,Single Draft,Y,Y,3
PA,Costco,Sierra Nevada Hazy IPA,12pk Bottles,Y,Y,1
TX,Costco,Competitor Lager,12pk Bottles,Y,Y,5
CA,Publix,Competitor IPA,12pk Bottles,Y,Y,6
PA,Safeway,Sierra Nevada Hazy IPA,Single Draft,Y,N,4
CA,Publix,Sierra Nevada Hazy IPA,Single Draft,Y,N,10
TX,Safeway,Competitor Lager,Single Draft,Y,Y,5
CA,Kroger,Sierra Nevada Torpedo,Single Draft,Y,Y,5
TX,Costco,Competitor Lager,12pk Bottles,N,Y,7
NC,Kroger,Competitor IPA,6pk Cans,Y,Y,1
NC,Whole Foods,Sierra Nevada Pale Ale,Single Draft,Y,Y,6
CA,Whole Foods,Competitor IPA,12pk Bottles,Y,Y,6
