Year,Quarter,Market,Category,Growth_Rate (%),SNBC_Share (%),Competitor_Share (%)
2024,3,TX,Non-Alcoholic,4.53,4.75,8.02
2024,2,PA,Lager,-3.8,10.27,2.83
2022,4,TX,IPA,-0.82,12.99,6.09
2023,2,CA,Non-Alcoholic,10.39,8.21,9.08
2022,2,PA,Non-Alcoholic,13.7,5.75,11.19
2022,4,CA,Non-Alcoholic,14.7,10.46,6.05
2023,2,TX,Flavored Beer,4.12,4.88,6.46
2024,2,CA,IPA,0.49,5.35,2.42
2023,4,NC,Non-Alcoholic,-4.92,13.0,5.16
2022,1,PA,IPA,3.57,5.69,9.26
2022,3,NC,Non-Alcoholic,8.87,7.13,8.28
2024,4,PA,Non-Alcoholic,-1.53,4.23,6.69
2024,1,NC,IPA,12.08,12.21,10.82
2024,3,CA,IPA,1.11,8.08,13.83
2024,3,PA,Flavored Beer,-0.2,6.75,10.05
2024,4,PA,Lager,5.21,11.02,14.04
2024,1,NC,IPA,5.7,9.55,9.85
2022,4,PA,Lager,1.39,4.81,4.13
2022,3,TX,Lager,10.53,3.26,9.65
2022,2,CA,Non-Alcoholic,8.0,8.01,2.84
2022,4,PA,Non-Alcoholic,4.77,11.96,7.9
2022,1,NC,Flavored Beer,14.69,14.06,5.95
2023,4,CA,IPA,-0.05,10.4,6.75
2024,2,PA,Flavored Beer,5.81,10.82,8.95
2023,3,PA,Non-Alcoholic,14.09,8.62,5.31
2022,3,NC,IPA,-1.86,8.73,11.84
2022,4,NC,IPA,7.61,9.9,4.85
2024,4,PA,IPA,7.28,6.23,10.65
2024,3,PA,Lager,4.55,9.53,13.02
2024,1,CA,Non-Alcoholic,3.91,8.18,5.52
