Account,Market,Shelf_Space_Linear_Feet,Brand,Package,Facings,Sales_Per_Facing
Whole Foods,CA,9.1,Sierra Nevada Torpedo,Single Draft,7,336.05
Costco,NC,14.5,Competitor IPA,12pk Bottles,5,428.74
Whole Foods,PA,5.1,Sierra Nevada Torpedo,12pk Bottles,9,213.92
Publix,CA,10.1,Sierra Nevada Torpedo,Single Draft,7,342.36
Costco,NC,4.7,Sierra Nevada Hazy IPA,6pk Cans,4,241.9
Kroger,CO,9.5,Competitor IPA,6pk Cans,8,179.81
Safeway,PA,6.1,Sierra Nevada Torpedo,12pk Bottles,2,429.32
Costco,TX,16.5,Competitor IPA,6pk Cans,7,186.5
Costco,CO,13.4,Competitor Lager,12pk Bottles,9,201.82
Safeway,TX,4.6,Sierra Nevada Torpedo,12pk Bottles,2,231.08
Publix,NC,11.8,Competitor IPA,Single Draft,2,345.15
Kroger,PA,11.6,Competitor Lager,6pk Cans,3,64.1
Whole Foods,TX,15.0,Sierra Nevada Pale Ale,Single Draft,6,61.05
Kroger,PA,12.8,Competitor Lager,12pk Bottles,5,340.58
Safeway,CO,14.9,Sierra Nevada Torpedo,12pk Bottles,7,106.63
Kroger,CO,16.7,Sierra Nevada Hazy IPA,12pk Bottles,8,288.45
Publix,CA,4.7,Competitor Lager,6pk Cans,1,382.45
Whole Foods,TX,13.3,Competitor Lager,12pk Bottles,2,235.91
Safeway,CO,5.8,Competitor Lager,6pk Cans,6,356.92
Safeway,CA,6.6,Competitor Lager,6pk Cans,2,55.5
Publix,CO,8.9,Competitor Lager,12pk Bottles,7,150.51
Kroger,TX,12.3,Sierra Nevada Pale Ale,12pk Bottles,1,325.51
Safeway,CA,4.8,Competitor IPA,12pk Bottles,7,486.62
Publix,CA,9.2,Competitor IPA,12pk Bottles,2,357.82
Safeway,TX,17.6,Competitor Lager,12pk Bottles,2,123.43
Safeway,PA,7.4,Competitor IPA,6pk Cans,2,287.66
Whole Foods,NC,19.2,Sierra Nevada Hazy IPA,12pk Bottles,9,211.36
Safeway,TX,4.7,Sierra Nevada Hazy IPA,6pk Cans,4,313.02
Whole Foods,CA,15.2,Sierra Nevada Torpedo,Single Draft,7,334.24
Costco,CA,12.2,Sierra Nevada Hazy IPA,Single Draft,9,316.4
Whole Foods,PA,19.4,Competitor IPA,12pk Bottles,5,205.03
Costco,CA,9.5,Sierra Nevada Pale Ale,6pk Cans,1,326.89
Costco,CO,10.1,Competitor IPA,6pk Cans,6,468.13
Whole Foods,NC,14.6,Sierra Nevada Torpedo,6pk Cans,5,333.15
Publix,NC,19.4,Sierra Nevada Pale Ale,Single Draft,5,382.81
Costco,CA,3.6,Competitor IPA,12pk Bottles,7,226.04
Whole Foods,TX,18.0,Competitor IPA,6pk Cans,1,409.32
Kroger,PA,10.7,Sierra Nevada Torpedo,Single Draft,3,274.57
Safeway,NC,5.4,Sierra Nevada Pale Ale,Single Draft,4,461.89
Costco,PA,19.6,Sierra Nevada Torpedo,6pk Cans,7,360.86
Whole Foods,CO,3.9,Sierra Nevada Torpedo,Single Draft,6,75.61
Kroger,CA,4.1,Sierra Nevada Torpedo,Single Draft,6,307.86
Kroger,CA,10.4,Sierra Nevada Hazy IPA,Single Draft,9,391.56
Publix,PA,10.5,Competitor IPA,12pk Bottles,6,166.47
Whole Foods,CA,16.5,Sierra Nevada Torpedo,12pk Bottles,4,430.19
Whole Foods,TX,3.9,Sierra Nevada Hazy IPA,Single Draft,5,489.39
Whole Foods,TX,5.9,Sierra Nevada Pale Ale,6pk Cans,2,287.35
Whole Foods,CA,4.8,Sierra Nevada Hazy IPA,6pk Cans,8,496.85
Safeway,NC,13.3,Sierra Nevada Torpedo,Single Draft,6,169.0
Safeway,NC,13.0,Sierra Nevada Torpedo,12pk Bottles,2,355.69
