Market,Account,Brand,Promotion_Type,Start_Date,End_Date,Incremental_Units,ROI
CO,Whole Foods,Competitor IPA,Display,2024-01-01,2024-01-08,623,1.99
TX,Whole Foods,Competitor IPA,Price Cut,2024-01-08,2024-01-15,562,2.31
NC,Publix,Sierra Nevada Hazy IPA,BOGO,2024-01-15,2024-01-22,807,0.68
CO,Kroger,Competitor Lager,Display,2024-01-22,2024-01-29,640,3.25
TX,Kroger,Sierra Nevada Pale Ale,Display,2024-01-29,2024-02-05,835,4.19
CO,Whole Foods,Sierra Nevada Pale Ale,Price Cut,2024-02-05,2024-02-12,718,2.94
CA,Safeway,Sierra Nevada Hazy IPA,Price Cut,2024-02-12,2024-02-19,498,2.16
PA,Whole Foods,Competitor Lager,Digital Ad,2024-02-19,2024-02-26,836,1.32
CA,Safeway,Competitor Lager,BOGO,2024-02-26,2024-03-04,911,4.79
PA,Whole Foods,Competitor Lager,Digital Ad,2024-03-04,2024-03-11,694,3.77
NC,Safeway,Sierra Nevada Hazy IPA,BOGO,2024-03-11,2024-03-18,833,3.22
CA,Whole Foods,Sierra Nevada Pale Ale,Digital Ad,2024-03-18,2024-03-25,692,0.69
TX,Costco,Sierra Nevada Pale Ale,Digital Ad,2024-03-25,2024-04-01,217,1.2
PA,Costco,Sierra Nevada Pale Ale,Digital Ad,2024-04-01,2024-04-08,230,2.98
NC,Publix,Competitor Lager,Price Cut,2024-04-08,2024-04-15,388,2.17
NC,Costco,Sierra Nevada Pale Ale,Digital Ad,2024-04-15,2024-04-22,195,1.63
NC,Publix,Sierra Nevada Hazy IPA,Price Cut,2024-04-22,2024-04-29,162,3.18
PA,Whole Foods,Sierra Nevada Hazy IPA,Digital Ad,2024-04-29,2024-05-06,972,4.93
TX,Safeway,Competitor IPA,Display,2024-05-06,2024-05-13,215,4.86
CO,Whole Foods,Competitor IPA,Display,2024-05-13,2024-05-20,646,3.11
CO,Kroger,Competitor Lager,Digital Ad,2024-05-20,2024-05-27,633,3.21
TX,Safeway,Sierra Nevada Torpedo,Display,2024-05-27,2024-06-03,558,3.49
TX,Publix,Sierra Nevada Hazy IPA,BOGO,2024-06-03,2024-06-10,235,3.09
NC,Safeway,Sierra Nevada Pale Ale,Display,2024-06-10,2024-06-17,860,4.29
NC,Kroger,Sierra Nevada Hazy IPA,Digital Ad,2024-06-17,2024-06-24,262,2.87
NC,Costco,Competitor Lager,Price Cut,2024-06-24,2024-07-01,266,1.43
TX,Publix,Sierra Nevada Torpedo,BOGO,2024-07-01,2024-07-08,905,2.53
TX,Publix,Competitor Lager,BOGO,2024-07-08,2024-07-15,109,3.19
TX,Whole Foods,Sierra Nevada Hazy IPA,Price Cut,2024-07-15,2024-07-22,583,1.11
CA,Whole Foods,Sierra Nevada Pale Ale,Digital Ad,2024-07-22,2024-07-29,93,2.54
TX,Costco,Sierra Nevada Pale Ale,BOGO,2024-07-29,2024-08-05,920,0.85
TX,Publix,Competitor Lager,Price Cut,2024-08-05,2024-08-12,664,3.78
NC,Whole Foods,Sierra Nevada Pale Ale,Price Cut,2024-08-12,2024-08-19,960,1.4
TX,Kroger,Competitor IPA,Display,2024-08-19,2024-08-26,918,1.59
CA,Costco,Sierra Nevada Hazy IPA,Digital Ad,2024-08-26,2024-09-02,518,4.08
TX,Costco,Sierra Nevada Pale Ale,Display,2024-09-02,2024-09-09,482,1.56
CO,Whole Foods,Sierra Nevada Hazy IPA,BOGO,2024-09-09,2024-09-16,832,3.59
PA,Whole Foods,Competitor IPA,BOGO,2024-09-16,2024-09-23,915,3.69
NC,Safeway,Competitor Lager,BOGO,2024-09-23,2024-09-30,859,1.85
CA,Whole Foods,Sierra Nevada Pale Ale,Display,2024-09-30,2024-10-07,610,3.97
