Date,Account,Market,Brand,Package,Units_Sold,Dollars_Sold,Promoted
2024-09-01,Safeway,CO,Sierra Nevada Torpedo,6pk Cans,318,1009.53,N
2024-05-05,Costco,CA,Competitor IPA,12pk Bottles,327,3525.24,Y
2024-12-08,Publix,CO,Sierra Nevada Hazy IPA,6pk Cans,425,3144.2,Y
2024-05-19,Costco,TX,Competitor IPA,Single Draft,193,2870.24,N
2024-03-31,Kroger,TX,Sierra Nevada Hazy IPA,Single Draft,428,4216.18,N
2024-01-28,Publix,CO,Sierra Nevada Hazy IPA,Single Draft,182,1598.69,N
2024-01-28,Costco,PA,Competitor Lager,Single Draft,488,947.78,Y
2024-08-11,Kroger,NC,Sierra Nevada Pale Ale,6pk Cans,412,1739.9,N
2024-11-17,Whole Foods,CO,Sierra Nevada Hazy IPA,6pk Cans,310,1555.48,N
2024-04-14,Kroger,PA,Competitor Lager,Single Draft,232,4725.89,N
2024-10-06,Kroger,NC,Sierra Nevada Torpedo,Single Draft,207,3906.11,N
2024-09-22,Publix,CO,Sierra Nevada Pale Ale,6pk Cans,385,744.71,N
2024-08-11,Whole Foods,NC,Sierra Nevada Torpedo,12pk Bottles,246,1283.08,Y
2024-03-10,Whole Foods,PA,Sierra Nevada Pale Ale,6pk Cans,412,4840.09,N
2024-05-26,Costco,NC,Competitor Lager,12pk Bottles,21,1716.9,N
2024-08-04,Costco,CO,Competitor Lager,Single Draft,296,4963.4,Y
2024-02-04,Whole Foods,PA,Competitor IPA,Single Draft,62,3674.74,N
2024-07-14,Whole Foods,CO,Competitor Lager,Single Draft,239,274.66,N
2024-06-02,Publix,TX,Competitor Lager,6pk Cans,269,3274.59,N
2024-05-12,Kroger,PA,Competitor Lager,6pk Cans,441,1164.17,Y
2024-08-18,Whole Foods,TX,Competitor Lager,6pk Cans,255,926.03,N
2024-12-15,Safeway,PA,Competitor IPA,12pk Bottles,285,4575.41,Y
2024-08-04,Whole Foods,PA,Competitor IPA,12pk Bottles,381,4525.7,N
2024-09-22,Costco,NC,Sierra Nevada Pale Ale,12pk Bottles,400,1512.45,N
2024-05-05,Kroger,CO,Competitor IPA,Single Draft,491,3091.0,N
2024-10-27,Whole Foods,TX,Sierra Nevada Pale Ale,Single Draft,100,1974.92,N
2024-04-21,Kroger,TX,Sierra Nevada Torpedo,12pk Bottles,487,1030.58,Y
2024-04-07,Kroger,CA,Competitor IPA,Single Draft,292,2488.12,Y
2024-09-01,Publix,CA,Competitor Lager,6pk Cans,23,3072.96,Y
2024-06-16,Kroger,TX,Competitor Lager,Single Draft,322,1838.81,N
2024-09-22,Costco,CO,Sierra Nevada Torpedo,6pk Cans,440,3762.7,N
2024-10-27,Costco,CO,Competitor Lager,12pk Bottles,64,4065.7,Y
2024-05-12,Costco,CA,Sierra Nevada Torpedo,Single Draft,138,475.39,N
2024-06-30,Publix,CA,Sierra Nevada Torpedo,12pk Bottles,227,4364.94,N
2024-11-10,Whole Foods,PA,Competitor IPA,12pk Bottles,146,4311.1,Y
2024-02-25,Whole Foods,CO,Sierra Nevada Pale Ale,6pk Cans,391,4859.13,Y
2024-05-12,Kroger,CO,Sierra Nevada Torpedo,6pk Cans,238,332.84,Y
2024-09-29,Safeway,PA,Competitor Lager,6pk Cans,323,2968.16,Y
2024-09-29,Kroger,CO,Sierra Nevada Torpedo,Single Draft,421,1647.38,Y
2024-04-21,Safeway,CO,Sierra Nevada Pale Ale,Single Draft,122,2403.32,N
2024-06-23,Kroger,TX,Sierra Nevada Pale Ale,6pk Cans,362,3327.08,Y
2024-10-27,Publix,PA,Competitor Lager,12pk Bottles,201,3138.32,Y
2024-06-16,Whole Foods,CA,Sierra Nevada Torpedo,Single Draft,267,4094.61,N
2024-01-07,Kroger,CA,Competitor Lager,12pk Bottles,498,1073.51,Y
2024-01-28,Publix,NC,Sierra Nevada Hazy IPA,12pk Bottles,260,2462.05,Y
2024-02-11,Publix,NC,Sierra Nevada Torpedo,6pk Cans,174,3521.31,N
2024-05-19,Whole Foods,NC,Competitor Lager,Single Draft,293,2541.7,N
2024-06-09,Whole Foods,TX,Competitor IPA,6pk Cans,169,1249.82,N
2024-10-06,Costco,PA,Competitor Lager,Single Draft,119,4652.37,N
